IDSBR,Nama Usaha,Alamat,Kode Wilayah,kode_kecamatan,alamat
97443983,warung makan bunda rahayu,jalan talasalapang,7371031002,7371031,jalan talasalapang
97458630,hisana fried chicken,jl hertasning baru,7371031004,7371031,jl hertasning baru
97457652,adlu cell (agus),jl.rappocini raya no.210,7371031008,7371031,jl.rappocini raya no.210
97445202,bfc (ayam crispy),jalan tamalate i,7371031003,7371031,jalan tamalate i
97445100,planet laundry (yani),jl talasalapang ruko,7371031002,7371031,jl talasalapang ruko
97444919,bank sampah pelita harapan,jl pelita 4,7371031010,7371031,jl pelita 4
97446367,laundry corner,jalan talasalapang,7371031002,7371031,jalan talasalapang
97442196,ksp celebes,komp bukit mas jl talasalapang,7371031002,7371031,komp bukit mas jl talasalapang
97448060,dagang grosir sandal <ruslan>,tidung 6,7371031003,7371031,tidung 6
97442308,loket on line,monginsidi baru blok ab 5,7371031010,7371031,monginsidi baru blok ab 5
97443370,flora salon (patta nurida),jalan talasalang no 50,7371031002,7371031,jalan talasalang no 50
97443160,dapur restoran,jl talasalapang,7371031002,7371031,jl talasalapang
97443830,penjahitan (sudirman),jalan tidung 6 stp 6 no. 131 rt 3 rw 4 90222,7371031003,7371031,jalan tidung 6 stp 6 no. 131 rt 3 rw 4 90222
97453552,kost putri,bonto tangnga,7371031002,7371031,bonto tangnga
97452374,warung sop ubi(taty azwati),tidung 7,7371031003,7371031,tidung 7
97453578,sahabat game 2 <yaris>,jl. monumen emmy saelan 3,7371031006,7371031,jl. monumen emmy saelan 3
97452057,warung campuran (st marwah),jalan tidung 7,7371031003,7371031,jalan tidung 7
97452058,jual air galon dan air mineral (heri),jl rappocini rata,7371031008,7371031,jl rappocini rata
97453739,kios rappocini (suandi),jl. rappocini raya no.192,7371031008,7371031,jl. rappocini raya no.192
97447251,konsultan hukum (advokat),jl griya ayu mas,7371031006,7371031,jl griya ayu mas
97450627,notaris,tamalate 2 no 101,7371031004,7371031,tamalate 2 no 101
97449639,depot simpati (rahman),jl makkio baji 3,7371031006,7371031,jl makkio baji 3
97453838,penyewaan kamar alfatih (haruna),jln monumen emmy saelan 3 no 25 a,7371031006,7371031,jln monumen emmy saelan 3 no 25 a
97458150,loundry one fresh,jl. mon.emmy saelan 3,7371031006,7371031,jl. mon.emmy saelan 3
97453917,penyewaan ambulance (h munir),jl.rappocini raya no.276,7371031008,7371031,jl.rappocini raya no.276
97458218,hotel makassar indah,emy saelan,7371031001,7371031,emy saelan
97450802,warung campuran(amirudin),tidung 6 stp 11,7371031003,7371031,tidung 6 stp 11
97453198,loket pembayaran online listrik (hasnia),jalan tidung 7,7371031003,7371031,jalan tidung 7
97450040,prima futsal (h. sulaiman),jl makkio baji,7371031006,7371031,jl makkio baji
97456460,bengkel motor dalle rappo (sherly),jl rappocini raya no.278 b,7371031008,7371031,jl rappocini raya no.278 b
97450928,dokter praktek (irwanto),tamalate 2 blok 13 nomor 9,7371031003,7371031,tamalate 2 blok 13 nomor 9
97450357,toko kencana jaya (ardis),jl. mon.emmy saelan,7371031006,7371031,jl. mon.emmy saelan
97450141,klinik gg (hamzah),jl mon.emmy saelan,7371031006,7371031,jl mon.emmy saelan
97457784,sentra pakaian bekas,jl aroepala,7371031004,7371031,jl aroepala
97457808,jual bakso qalbu (h ilham),gedung balai sidang unismuh,7371031001,7371031,gedung balai sidang unismuh
97457809,rumbu,jl talasalapang <graha asri estate a3>,7371031001,7371031,jl talasalapang <graha asri estate a3>
97457810,apotek kenza,tallasalapang raya,7371031001,7371031,tallasalapang raya
97457807,candy cell (hj jime),jl alauddin raya,7371031001,7371031,jl alauddin raya
97451903,desain gambar bangunan (rahmat),jln monumen emmy saelan 3 lr 50 a,7371031006,7371031,jln monumen emmy saelan 3 lr 50 a
97457859,cahaya abadi komputer,sultan alauddin,7371031001,7371031,sultan alauddin
