Threshold,TP,TN,FP,FN,Accuracy,Accuracy(%)
0.75,177,6418,559,0,0.9218618954431087,92.186
0.76,177,6539,438,0,0.9387755102040817,93.878
0.77,169,6578,399,8,0.9431087503494548,94.311
0.78,166,6619,358,11,0.9484204640760414,94.842
0.79,159,6666,311,18,0.9540117416829745,95.401
0.8,159,6717,260,18,0.9611406206318144,96.114
0.81,151,6785,192,26,0.9695275370422142,96.953
0.82,141,6806,171,36,0.9710651383841208,97.107
0.83,138,6836,141,39,0.9748392507688006,97.484
0.84,130,6858,119,47,0.9767961979312273,97.68
0.85,126,6869,108,51,0.9777746715124406,97.777
0.86,124,6880,97,53,0.9790327089740005,97.903
0.87,118,6898,79,59,0.9807100922560805,98.071
0.88,113,6903,74,64,0.9807100922560805,98.071
0.89,107,6912,65,70,0.9811294380766005,98.113
0.9,104,6916,61,73,0.9812692200167739,98.127
0.91,99,6921,56,78,0.9812692200167739,98.127
0.92,97,6927,50,80,0.9818283477774672,98.183
0.93,89,6933,44,88,0.9815487838971205,98.155
0.94,88,6934,43,89,0.9815487838971205,98.155
0.95,86,6937,40,91,0.9816885658372938,98.169
0.96,79,6937,40,98,0.9807100922560805,98.071
0.97,78,6937,40,99,0.9805703103159071,98.057
0.98,77,6937,40,100,0.9804305283757339,98.043
0.99,77,6937,40,100,0.9804305283757339,98.043
1.0,77,6937,40,100,0.9804305283757339,98.043
