IDSBR,Nama Usaha,Alamat,Kode Wilayah,Status Perusahaan,len,kode_kecamatan,nama_kecamatan
97443983,WARUNG MAKAN BUNDA RAHAYU,JALAN TALASALAPANG,7371031002,Aktif,10,7371031,Rappocini
97458630,HISANA FRIED CHICKEN,JL HERTASNING BARU,7371031004,Aktif,10,7371031,Rappocini
97457652,ADLU CELL (AGUS),JL.RAPPOCINI RAYA NO.210,7371031008,Aktif,10,7371031,Rappocini
97445202,BFC (AYAM CRISPY),JALAN TAMALATE I,7371031003,Aktif,10,7371031,Rappocini
97445100,PLANET LAUNDRY (YANI),JL TALASALAPANG RUKO,7371031002,Aktif,10,7371031,Rappocini
97444919,BANK SAMPAH PELITA HARAPAN,JL PELITA 4,7371031010,Aktif,10,7371031,Rappocini
97446367,LAUNDRY CORNER,JALAN TALASALAPANG,7371031002,Aktif,10,7371031,Rappocini
97442196,KSP CELEBES,KOMP BUKIT MAS JL TALASALAPANG,7371031002,Aktif,10,7371031,Rappocini
97448060,DAGANG GROSIR SANDAL <RUSLAN>,TIDUNG 6,7371031003,Aktif,10,7371031,Rappocini
97442308,LOKET ON LINE,MONGINSIDI BARU BLOK AB 5,7371031010,Aktif,10,7371031,Rappocini
97443370,FLORA SALON (PATTA NURIDA),JALAN TALASALANG NO 50,7371031002,Aktif,10,7371031,Rappocini
97443160,DAPUR RESTORAN,JL TALASALAPANG,7371031002,Aktif,10,7371031,Rappocini
97443830,PENJAHITAN (SUDIRMAN),JALAN TIDUNG 6 STP 6 NO. 131 RT 3 RW 4 90222,7371031003,Aktif,10,7371031,Rappocini
97453552,KOST PUTRI,BONTO TANGNGA,7371031002,Aktif,10,7371031,Rappocini
97452374,WARUNG SOP UBI(TATY AZWATI),TIDUNG 7,7371031003,Aktif,10,7371031,Rappocini
97453578,SAHABAT GAME 2 <YARIS>,JL. MONUMEN EMMY SAELAN 3,7371031006,Aktif,10,7371031,Rappocini
97452057,WARUNG CAMPURAN (ST MARWAH),JALAN TIDUNG 7,7371031003,Aktif,10,7371031,Rappocini
97452058,JUAL AIR GALON DAN AIR MINERAL (HERI),JL RAPPOCINI RATA,7371031008,Aktif,10,7371031,Rappocini
97453739,KIOS RAPPOCINI (SUANDI),JL. RAPPOCINI RAYA NO.192,7371031008,Aktif,10,7371031,Rappocini
97447251,KONSULTAN HUKUM (ADVOKAT),JL GRIYA AYU MAS,7371031006,Aktif,10,7371031,Rappocini
97450627,NOTARIS,TAMALATE 2 NO 101,7371031004,Aktif,10,7371031,Rappocini
97449639,DEPOT SIMPATI (RAHMAN),JL MAKKIO BAJI 3,7371031006,Aktif,10,7371031,Rappocini
97453838,PENYEWAAN KAMAR ALFATIH (HARUNA),JLN MONUMEN EMMY SAELAN 3 NO 25 A,7371031006,Aktif,10,7371031,Rappocini
97458150,LOUNDRY ONE FRESH,JL. MON.EMMY SAELAN 3,7371031006,Aktif,10,7371031,Rappocini
97453917,PENYEWAAN AMBULANCE (H MUNIR),JL.RAPPOCINI RAYA NO.276,7371031008,Aktif,10,7371031,Rappocini
97458218,HOTEL MAKASSAR INDAH,EMY SAELAN,7371031001,Aktif,10,7371031,Rappocini
97450802,WARUNG CAMPURAN(AMIRUDIN),TIDUNG 6 STP 11,7371031003,Aktif,10,7371031,Rappocini
97453198,LOKET PEMBAYARAN ONLINE LISTRIK (HASNIA),JALAN TIDUNG 7,7371031003,Aktif,10,7371031,Rappocini
97450040,PRIMA FUTSAL (H. SULAIMAN),JL MAKKIO BAJI,7371031006,Aktif,10,7371031,Rappocini
97456460,BENGKEL MOTOR DALLE RAPPO (SHERLY),JL RAPPOCINI RAYA NO.278 B,7371031008,Aktif,10,7371031,Rappocini
97450928,DOKTER PRAKTEK (IRWANTO),TAMALATE 2 BLOK 13 NOMOR 9,7371031003,Aktif,10,7371031,Rappocini
97450357,TOKO KENCANA JAYA (ARDIS),JL. MON.EMMY SAELAN,7371031006,Aktif,10,7371031,Rappocini
97450141,KLINIK GG (HAMZAH),JL MON.EMMY SAELAN,7371031006,Aktif,10,7371031,Rappocini
97457784,SENTRA PAKAIAN BEKAS,JL AROEPALA,7371031004,Aktif,10,7371031,Rappocini
97457808,JUAL BAKSO QALBU (H ILHAM),GEDUNG BALAI SIDANG UNISMUH,7371031001,Aktif,10,7371031,Rappocini
97457809,RUMBU,JL TALASALAPANG <GRAHA ASRI ESTATE A3>,7371031001,Aktif,10,7371031,Rappocini
97457810,APOTEK KENZA,TALLASALAPANG RAYA,7371031001,Aktif,10,7371031,Rappocini
97457807,CANDY CELL (HJ JIME),JL ALAUDDIN RAYA,7371031001,Aktif,10,7371031,Rappocini
97451903,DESAIN GAMBAR BANGUNAN (RAHMAT),JLN MONUMEN EMMY SAELAN 3 LR 50 A,7371031006,Aktif,10,7371031,Rappocini
97457859,CAHAYA ABADI KOMPUTER,SULTAN ALAUDDIN,7371031001,Aktif,10,7371031,Rappocini
97461282,89 CELL,JL TALASALAPANG PERUM JIPANG PERMAI BLOK DP 9 NO 5,7371031002,Aktif,10,7371031,Rappocini
97470855,BENGKEL MAHA MERU MOTOR,JL RAPPOCINI RAYA NO 26,7371031009,Aktif,10,7371031,Rappocini
97470856,BRITON ENGLISH,JL AROEPALA NO 41,7371031004,Aktif,10,7371031,Rappocini
97465819,UD RASNI BUDI MULIA,JL TALASALAPANG NO 99,7371031002,Aktif,10,7371031,Rappocini
