input_id,title_maps,address_maps,IDSBR_best,nama_bps_best,alamat_bps_best,score_jw,label
a1b862b7-f3dd-4080-8d73-191b75975673,simetri cafe mks,"Jl. Rappocini Raya No.109A, Bua Kana, Rappocini, Makassar City, South Sulawesi 90222",4471585,sefactor deos maks,jl rappocini raya,0.75,unmatch
9f9df669-eaf0-4928-a13f-cddf4346d781,agen xamthone plus makassar,"JL. A. P. Pettarani, No. 61, Bua Kana, Kec. Makassar, Kota Makassar, Sulawesi Selatan 90222",3532554,teras sunnah makassar,talasalapang 2,0.78,unmatch
a1b862b7-f3dd-4080-8d73-191b75975673,daun coffee monginsidi,"komp. Ruko Puri Mutiara, Jl. Monginsidi Baru No.1, Rappocini, Makassar City, South Sulawesi 90222",3365337,daf,jl mon.emmy saelan komp monumen mutiara,0.77,unmatch
a3f39cd3-b9af-4647-a544-aeb050afa744,"paprik""perfume shop""","Jl. Tamalate IV No.138, Kassi-Kassi, Rappocini, Makassar City, South Sulawesi 90222",3560125,pp-brp kso,jl letjen hertasning,0.69,unmatch
a3f39cd3-b9af-4647-a544-aeb050afa744,iye parfum,"RCJW+GHR Iye Parfum, Jl. Bonto Daeng Ngirate, Bonto Makkio, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",4026968,imperium,jl skarda n mangasa permai,0.76,unmatch
97432aae-4bc6-4f76-9a6f-4ed0e625ba8f,homecare dan sunat modern makassar,"Jl. Monumen Emmy Saelan Lrg. 7, Bonto Makkio, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",4325925,marala movers makassar,jl.toddopuli vi borong indah 10,0.75,unmatch
97432aae-4bc6-4f76-9a6f-4ed0e625ba8f,klinik alvaro care,"Blok 20, Jl. Bonto Daeng Ngirate Stp. 3 No.25, RT.002/RW.06, Bonto Makkio, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",97502853,klinik addaraen,jl sultan alauddin no 305 a,0.89,unmatch
a3f39cd3-b9af-4647-a544-aeb050afa744,aa bar parfum,"Jl. Toddopuli Raya No.14, Kassi-Kassi, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",3844982,azka prima utama,jl sultan alauddin perumahan galosi home,0.76,unmatch
a3f39cd3-b9af-4647-a544-aeb050afa744,dirah shop parfum,"RCFP+6XG Dirah Shop Parfum, Jalan Sultan Alauddin, GunungSari, Rappocini, Gn. Sari, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",3814015,dibar utama properti,jl syech yusuf,0.76,unmatch
a3f39cd3-b9af-4647-a544-aeb050afa744,berlian parfume jipang raya,"Jl. Jipang Raya No.67, Karunrung, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90221",3452839,berlian utama,jl landak baru,0.86,unmatch
1f475870-d8a1-4993-8ddf-aa92390536fc,londry home,"Jl. Kr. Bontotangnga No.19, Karunrung, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 92176",97458150,loundry one fresh,jl. mon.emmy saelan 3,0.83,unmatch
fe8bc2b2-f25b-432e-a229-5cdce49ad29e,metaforest outdoor gear,"Kompleks Permata Hijau, Blok I. 29, Kota Makassar, Sulawesi Selatan 90222",4388015,mote water filterindo,komp mangasa permai blok,0.74,unmatch
d78f595a-1a70-430d-bcff-2b6b5ed40270,ibral's food & craft,"Jl. Tidung IV Setapak 3 No.78 Blok 16, Bonto Makkio, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",5963806,salon flora,jl tala salapang raya,0.72,unmatch
5a628f83-744c-416f-81c3-c44068b5e4d2,cahaya kost (toko angga arifin),"Jl. Buakana Raya No.20B, Bua Kana, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",3517194,cahaya integritas kooperatif,jl. hertasning barat komp.gpi b/16,0.84,unmatch
5a628f83-744c-416f-81c3-c44068b5e4d2,kios nafisah,"RCWJ+R82 Kios nafisah, Unnamed Road, Bua Kana, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",97489095,kios diana,jl hertasning raya,0.91,unmatch
b88fd9cb-1c32-42ce-958b-be7e379e78a8,sanggara,"Jl. Minasa Upa No.18, Gn. Sari, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90221",2791044,sanggar ininnawa,"jl sultan alauddin lr al azhar i no 10 rt 001 rw 016, gunung sari",0.9,unmatch
49a550cd-8929-4014-9389-0b3a01e61296,alauddin soho,"Gn. Sari, Kec. Rappocini, Kota Makassar, Sulawesi Selatan",3252070,aliah consulindo,jl tidung vii stp.2,0.78,unmatch
